text,label,clean_review
"""I bought this laptop a week ago and it's already giving me issues. The battery life is terrible and it crashes constantly. I regret buying it.""",negative,bought laptop week ago alreadi give issu batteri life terribl crash constantli regret buy
"""I am in love with this new phone. The camera quality is superb and the battery life is impressive. Definitely worth the money.""",positive,love new phone camera qualiti superb batteri life impress definit worth money
"""This coffee maker is a total waste of money. It stopped working after just a month of use. I am very disappointed.""",negative,coffe maker total wast money stop work month use disappoint
"""I am extremely satisfied with this blender. It's powerful, easy to clean, and blends smoothly. I highly recommend it.""",positive,extrem satisfi blender power easi clean blend smoothli highli recommend
"""I am very upset with this purchase. The product arrived damaged and the customer service has been unhelpful. I will not be buying from this seller again.""",negative,upset purchas product arriv damag custom servic unhelp buy seller
"""I am absolutely thrilled with this new smartwatch. The features are amazing and the battery life is long-lasting. It's a great investment.""",positive,absolut thrill new smartwatch featur amaz batteri life long last great invest
"""I am very dissatisfied with this vacuum cleaner. It's not powerful at all and the battery dies quickly. I do not recommend it.""",negative,dissatisfi vacuum cleaner power batteri die quickli recommend
"""This skincare product is a game changer. My skin has never looked better. It's worth every penny.""",positive,skincar product game changer skin never look better worth everi penni
"""I am extremely disappointed with this vacuum cleaner. It's not powerful at all and the battery life is very short. I do not recommend it.""",negative,extrem disappoint vacuum cleaner power batteri life short recommend
"""The shoes were comfortable but the quality was not as expected. They started to wear out after a few weeks.""",negative,shoe comfort qualiti expect start wear week
"""I'm very pleased with this laptop. It's fast, lightweight, and has a great display. The battery life is also impressive. Highly recommended!""",positive,pleas laptop fast lightweight great display batteri life also impress highli recommend
"""This blender is a total disappointment. It's not as powerful as advertised and it's quite noisy. I wouldn't recommend it.""",negative,blender total disappoint power advertis quit noisi recommend
"""I am extremely happy with this purchase. The product is of high quality and the delivery was quick. I highly recommend this seller.""",positive,extrem happi purchas product high qualiti deliveri quick highli recommend seller
"""This camera is simply amazing. The picture quality is superb and it's very user-friendly. It's worth every penny.""",positive,camera simpli amaz pictur qualiti superb user friendli worth everi penni
"""I am extremely disappointed with this blender. It's not powerful at all and it's very noisy. I would not recommend it.""",negative,extrem disappoint blender power noisi would recommend
"""I love this new blender. It's powerful and easy to clean. I use it every day and it's still working great. I highly recommend it.""",positive,love new blender power easi clean use everi day still work great highli recommend
"""The laptop is a total waste of money. It's slow, the battery life is poor and it crashes frequently. I regret buying it.""",negative,laptop total wast money slow batteri life poor crash frequent regret buy
"""This book is a masterpiece. The storyline is gripping and the characters are well developed. I couldn't put it down.""",positive,book masterpiec storylin grip charact well develop put
"""This vacuum cleaner is terrible. It doesn't pick up dirt well and the battery life is poor. I regret buying it.""",negative,vacuum cleaner terribl pick dirt well batteri life poor regret buy
"""I am very pleased with this smartphone. It's fast, the screen is clear and the battery life is long. I highly recommend it.""",positive,pleas smartphon fast screen clear batteri life long highli recommend
"""This laptop is a waste of money. It's slow, the screen quality is poor and the battery life is terrible. I'm very disappointed.""",negative,laptop wast money slow screen qualiti poor batteri life terribl disappoint
"""This laptop is fantastic. It's fast, lightweight, and the battery life is great. I highly recommend it.""",positive,laptop fantast fast lightweight batteri life great highli recommend
"""I am very disappointed with this product. It broke after only a few uses. I do not recommend it.""",negative,disappoint product broke use recommend
"""I am very disappointed with this purchase. The product arrived damaged and the seller is not responsive. I do not recommend this product or seller.""",negative,disappoint purchas product arriv damag seller respons recommend product seller
